[2007-03-29 00:24:05 201.81.104.85  ] login ok
[2007-03-29 00:24:40 201.81.104.85  ] DELETE FROM comment WHERE id = 34
[2007-03-29 00:36:53 201.81.104.85  ] INSERT INTO post (titulo, url, data, texto) VALUES ("Pr&eacute; Requisito para ser um Escritor", "pre_requisito_para_ser_um_escritor", "2007-04-01 000:24", "Hoje estava lembrando de uma conversa que estava tendo com um amigo acerca do lan&ccedil;amento do meu livro nas livrarias. Estava comentando com ele sobre como a sala de literatura estrangeira na Fnac sempre esta mais cheia que a de literatura nacional e como as pessoas parecem sempre ter mais interesse nos autores de fora do que os daqui. Ele ent&atilde;o me fez uma sugest&atilde;o no minimo inusitada: \&quot;Assuma um pseud&ocirc;nimo estrangeiro e voc&ecirc; ter&aacute; seu livro colocado l&aacute;\&quot;. \r\n\r\nConcordo que &eacute; uma forma de se enxergar as coisas")
[2007-03-29 18:45:44 201.83.10.71   ] login ok
[2007-03-29 18:45:57 201.83.10.71   ] UPDATE comment SET aprovado = "1" WHERE id = 37
[2007-03-29 18:46:22 201.83.10.71   ] UPDATE comment SET aprovado = "1" WHERE id = 36
[2007-03-29 19:04:57 201.83.10.71   ] UPDATE post SET titulo = "Pedigree para ser um Escritor", url = "pedigree_para_ser_um_escritor", data = "2007-04-01 000:24", texto = "Hoje estava lembrando de uma conversa que estava tendo com um amigo acerca do lan&ccedil;amento do meu livro nas livrarias. Estava comentando com ele sobre como a sala de literatura estrangeira na Fnac sempre esta mais cheia que a de literatura nacional e como as pessoas parecem sempre ter mais interesse nos autores de fora do que os daqui. Ele ent&atilde;o me fez uma sugest&atilde;o no minimo inusitada: \&quot;Assuma um pseud&ocirc;nimo estrangeiro e voc&ecirc; ter&aacute; seu livro colocado l&aacute;\&quot;. \r\n\r\nConcordo que &eacute; uma forma de se enxergar as coisas, mas n&atilde;o acho que ser&aacute; enganando meus leitores que irei alcan&ccedil;ar o que eu busco. Afinal de contas o que &eacute; necess&aacute;rio para ser um escritor nacional lido? &Eacute; claro que se voc&ecirc; tem dinheiro para investir voc&ecirc; pode fazer como o Orlando Paes Filho que investiu pesadissimo em divulga&ccedil;&atilde;o e assim alcan&ccedil;ou seu p&uacute;blico. Divulga&ccedil;&atilde;o e propaganda com certeza fazer diferen&ccedil;a, mas h&aacute; alguns dias acabei criando uma teoria sobre a sala de literatura brasileira.\r\n\r\nComo toda teoria que envolva livros e autores, esta &eacute; altamente especulativa e controversa, mas ainda sim vou enuncia-la e deixar que voc&ecirc;s julguem se faz algum sentido ou se n&atilde;o passa de bobagem da minha parte. Uma coisa que sinto as vezes na literatura nacional (baseado nos nomes e sinopses dos livros que eu leio) &eacute; que muitas vezes os autores brasileiros padecem do mesmo mal que muitos diretores de cinema tupiniquim, a necessidade de elevar sua obra ao status de arte.\r\n\r\nParece que diferente dos autores estrangeiros, o autor brasileiro &eacute; incapaz de escrever uma obra apenas para que o leitor se divirta com a leitura. Tudo o que se escreve parece ser dotado de uma profundidade infinita, como se todo autor almejasse o status de um Machado de Assis ou de um Nelson Rodrigues. Eles confeitam livros com nomes pesados e cheios de significado, recheando-os com critica social e recobrindo com um sentimento de artista profundo e incompreendido.\r\n\r\nFico pensando quanto do publico m&eacute;dio tem paci&ecirc;ncia para toda essa complexidade (sim, existem pessoas que adoram isso). Ser&aacute; por isso que os filmes hollywoodianos assim como os livros menos pretensiosos vendem bem? Ser&aacute; essa a raz&atilde;o de alguns filmes nacionais assim como alguns livros ficarem restritos aos cultos e literatos?\r\n\r\nConcordo tamb&eacute;m que somos muito preconceituosos em rela&ccedil;&atilde;o ao que produzimos aqui, mas como combater essa vis&atilde;o se n&atilde;o se sai desse circulo vicioso? Entendam que n&atilde;o estou defendendo a massifica&ccedil;&atilde;o a l&aacute; novela da Globo e que sim concordo que existe muita porcaria enlatada que vem do exterior. Mas por que n&atilde;o escrever livros de fic&ccedil;&atilde;o cientifica e aventura situados em S&atilde;o Paulo? Por que tudo tem de ser sobre traficantes, favela, policiais e mundo c&atilde;o? Esses livros de aventura vendem na sala ao lado, o que impediria que fossem vendidos desse lado tamb&eacute;m?.\r\n\r\nTalvez tenha divagado um pouco no artigo dessa semana mas o que quero dizer &eacute; que acredito que para ser um escritor lido n&atilde;o &eacute; necess&aacute;rio comer atum e arrotar caviar. Sejamos despretensiosos ao escrever e pensemos que do outro lado do livro tem muita gente que vai querer compra-lo para esquecer o nosso dia a dia e viajar por algumas horas em uma aventura diferente." WHERE id = 78
[2007-03-29 20:49:14 201.83.10.71   ] login ok
[2007-03-29 20:55:01 201.83.10.71   ] INSERT INTO noticia (titulo, data, texto) VALUES ("Blog Vai ao Ar em Seu Novo Endere&ccedil;o", "2006-08-01 20:55", "Depois de muita espera, o Di&aacute;rio de Bordo agora navega em mares pr&oacute;prios. O blog reformulado conta agora com novos canais onde voc&ecirc; pode saber um pouco a meu respeito e ler uma resenha do futuro livro al&eacute;m de outras hist&oacute;rias em projeto. Al&eacute;m disso convido o a conhecer o T2G, uma brincadeira que venho fazendo com uma amiga onde cada um de n&oacute;s escreve um capitulo de uma hist&oacute;ria, sem planejamento.\r\nA partir de agora, a p&aacute;gina principal do Blog fica dedicada exclusivamente aos artigos que escrevo semanalmente, sendo que as noticias sobre a publica&ccedil;&atilde;o do livro e sua repercuss&atilde;o ser&atilde;o postadas aqui.\r\nPor fim n&atilde;o deixem de visitar o canal para a pr&eacute; venda e contribuir para que esse grande sonho se realize. Espero que gostem do novo formato e criticas e sugest&otilde;es ser&atilde;o bem vindas")
[2007-03-29 20:55:21 201.83.10.71   ] UPDATE noticia SET titulo = "Not&iacute;cia teste", data = "2008-02-11 01:02", texto = "Not&iacute;cia [b]TESTE[/b]." WHERE id = 1
[2007-03-29 20:59:50 201.83.10.71   ] DELETE FROM noticia WHERE id = 1 LIMIT 1
