[2007-04-19 01:09:16 201.83.48.203  ] login ok
[2007-04-19 13:30:19 201.83.48.203  ] login ok
[2007-04-19 16:32:21 201.83.48.203  ] login ok
[2007-04-19 16:41:32 201.83.48.203  ] INSERT INTO post (titulo, url, data, texto) VALUES ("Uma Triste Noticia", "uma_triste_noticia", "2007-12-31 16:41", "a cerca da morte de Keith Parkinson")
[2007-04-19 16:42:44 201.83.48.203  ] INSERT INTO post (titulo, url, data, texto) VALUES ("Valor Liter&aacute;rio", "valor_literario", "2007-12-31 16:42", "a cerca dos valores de cada obra (discuss&atilde;o no Orkut)")
[2007-04-19 16:43:28 201.83.48.203  ] INSERT INTO post (titulo, url, data, texto) VALUES ("O Verdadeiro C&oacute;digo Da Vinci", "o_verdadeiro_codigo_da_vinci", "2007-04-19 16:42", "A cerca das inve&ccedil;&otilde;es de Leonardo Da Vinci e as inspira&ccedil;&otilde;es para um livro steampunk")
[2007-04-19 16:43:39 201.83.48.203  ] UPDATE post SET titulo = "O Verdadeiro C&oacute;digo Da Vinci", url = "o_verdadeiro_codigo_da_vinci", data = "2007-12-31 16:42", texto = "A cerca das inve&ccedil;&otilde;es de Leonardo Da Vinci e as inspira&ccedil;&otilde;es para um livro steampunk" WHERE id = 86
[2007-04-19 16:44:43 201.83.48.203  ] INSERT INTO post (titulo, url, data, texto) VALUES ("Arrog&acirc;ncia Liter&aacute;ria II", "arrogancia_literaria_ii", "2007-12-31 16:44", "")
[2007-04-19 16:46:38 201.83.48.203  ] UPDATE post SET titulo = "O Motim do Bounty", url = "o_motim_do_bounty", data = "2007-04-23 01:27", texto = "[img=motim_no_bounty.jpg]Fazendo uso mais uma vez do meu direito de tomar livros emprestados na Fnac, escolhi um titulo que certamente me chamou a aten&ccedil;&atilde;o. A primeira men&ccedil;&atilde;o que tive sobre esse livro foi na Folha de S&atilde;o Paulo, sendo que uma semana depois o livro estava em minhas m&atilde;os. \r\n\r\nO livro conta a hist&oacute;ria do Bounty, um pequeno navio ingl&ecirc;s que nos idos de 1780 foi enviado ao Taiti afim de coletar mudas de Fruta P&atilde;o. A fruta p&atilde;o &eacute; uma planta cujo fruto (como pr&oacute;prio nome j&aacute; diz) possui gosto e textura semelhante ao p&atilde;o e era visto pelo almirantado ingl&ecirc;s como uma solu&ccedil;&atilde;o barata para alimentar os escravos das col&ocirc;nias do caribe. \r\n\r\nO navio foi entregue a um certo William Blight, um experiente navegador que outrora havia navegado sob o comando do Capit&atilde;o Cook (o primeiro homem a circunavegar a Austr&aacute;lia). Assim como seu mestre, Blight era um homem met&oacute;dico que acreditava firmemente na necessidade de se manter uma tripula&ccedil;&atilde;o saud&aacute;vel, limpa e bem disposta. \r\n\r\nAp&oacute;s uma tentativa desastrada de tentar contornar o cabo Horn em dire&ccedil;&atilde;o ao Pacifico, Blight se viu cada vez mais comandando uma tripula&ccedil;&atilde;o insatisfeita, sendo que suas puni&ccedil;&otilde;es gradativamente aumentaram. Finalmente quando ja se preparavam para voltar, depois de uma viagem penosa e cheia de trope&ccedil;os, seus homens se amotinaram, tomaram o navio largamdo-o em um pequeno bote (junto de alguns homens fi&eacute;is) no meio do pacifico para morrer. Blight milagrosamente, conseguiu voltar a Inglaterra dando inicio a uma busca aos amotinados. \r\n\r\nPara aqueles enfurecidos com os spoilers que descrevi, lhes digo que toda essa hist&oacute;ria &eacute; descoberta apenas lendo-se a contra-capa do livro e o que realmente fascina na hist&oacute;ria &eacute; a forma como os acontecimentos v&atilde;o tomando forma. \r\n\r\nCom um texto agrad&aacute;vel de ler, semelhante ao que encontrei nos livros Piratas, Uma Hist&oacute;ria Geral de Crimes e Roubos de Piratas Famosos e A Viagem do Pirata Richard Hawkin (ambos do autor E. San Martin), al&eacute;m de mapas e desenhos que ilustram os protagonistas da hist&oacute;ria a autora Caroline Alexander nos mostra como era o dia a dia a bordo desses navios a partir dos diarios de bordo e das cartas enviadas pelos tripulantes. Apesar de ser muito detalhista algumas vezes (o que cansa um pouco), seu texto esta longe de ser a linguagem chata e altamente t&eacute;cnica de Patrick O&acute;Brian (Mestre dos Mares). Ainda n&atilde;o acabei de ler o livro (afinal s&atilde;o mais de 500 p&aacute;ginas), mas estou adorando e sentindo aquela vontade de voltar a escrever.\r\n\r\nPor&eacute;m minha rela&ccedil;&atilde;o com o Bounty vai al&eacute;m desse simples livro e mesmo temendo me alongar no post, quero contar essas duas hist&oacute;rias. Nos idos de 1995 eu tive a oportunidade de viajar para Portugal com minha familia. J&aacute; sendo um amante dos navios de madeira por conta do trabalho de meu pai, fiquei contagiado com aquela id&eacute;ia de estar numa na&ccedil;&atilde;o de navegadores e ainda mais animado em conhecer a famosa Escola de Sagres. Sobre a escola eu lhes conto outro dia, mas eis que entrei em uma loja com meu pai pois estava ansioso por comprar um poster que tivesse o desenho de um belo navio a vela (meu pai tinha usado um desenho semelhante alguns anos antes para fazer um modelo de navio). Fu&ccedil;ando em meio aos v&aacute;rios desenhos de mapas e outras coisas, achei um que possuia um navio de perfil al&eacute;m de detalhes sobre as velas e outros pontos do navio. Adorei aquele poster e o comprei na hora, esse navio desenhado era o Bounty. \r\n\r\nO mesmo poster encontra-se at&eacute; hoje enquadrado e pendurado no meu quarto e &eacute; bem curioso ler esse livro olhando para ele. Um detalhe sobre esse desenho &eacute; que ele possui escrito em quatro linguas (Espanhol, Ingl&ecirc;s, Franc&ecirc;s e Portugu&ecirc;s) um breve resumo sobre a hist&oacute;ria do Bounty, sendo que s&oacute; fui me dar conta disso e ler o que dizia aquele poster muitos anos depois dele estar na minha parede. \r\n\r\nSe coincid&ecirc;ncia pouca &eacute; bobagem, no ano seguinte tive a oportunidade de ir fazer interc&acirc;mbio nos EUA e fiquei um m&ecirc;s alojado em uma pequena universidade localizada em St Petersburg (Fl&oacute;rida). Eis que em uma de nossas noites, fomos passear em um pier local (um misto de lojas, restaurantes e ponto de encontro) e eis que para minha surpresa e alegria havia ancorado ali um lindo navio a vela. Imediatamente saquei minha c&acirc;mera e comecei a bater fotos sendo que logo depois descobri que o tal navio se tratava de uma r&eacute;plica do Bounty construida e usada em um filme sobre ele em 1986. Pesquisando na internet esses dias descobri que essa mesma r&eacute;plica foi usada em um dos filmes do Piratas do Caribe, apesar da fonte n&atilde;o mencionar em qual deles. \r\n\r\nSou um pouco supersticioso com essas coisas e tenho f&eacute; que esse livro n&atilde;o caiu em minhas m&atilde;os por acaso. Quem sabe ap&oacute;s tantos encontros e desencontros com esse navio, n&atilde;o seja a sua hist&oacute;ria que ir&aacute; me trazer novos ventos, renovando minha inspira&ccedil;&atilde;o na hist&oacute;ria de minha pirata Colleen." WHERE id = 83
[2007-04-19 23:41:18 201.83.48.203  ] login ok
[2007-04-19 23:50:55 201.83.48.203  ] UPDATE post SET titulo = "O Motim do Bounty", url = "o_motim_do_bounty", data = "2007-04-23 01:27", texto = "[img=motim_no_bounty.jpg]Fazendo uso mais uma vez do meu direito de tomar livros emprestados na Fnac, escolhi um titulo que certamente me chamou a aten&ccedil;&atilde;o. A primeira men&ccedil;&atilde;o que tive sobre esse livro foi na Folha de S&atilde;o Paulo, sendo que uma semana depois o livro estava em minhas m&atilde;os. \r\n\r\nO livro conta a hist&oacute;ria do HMS Bounty, um pequeno navio ingl&ecirc;s que nos idos de 1780 foi enviado ao Taiti em uma miss&atilde;o oficial para se coletar mudas de Fruta P&atilde;o. A fruta p&atilde;o &eacute; uma planta cujo fruto (como pr&oacute;prio nome j&aacute; diz) possui gosto e textura semelhante ao p&atilde;o e era visto pelo almirantado ingl&ecirc;s como uma solu&ccedil;&atilde;o barata para alimentar os escravos das col&ocirc;nias do caribe. \r\n\r\nO navio foi entregue a um certo William Blight, um experiente navegador que outrora havia navegado sob o comando do Capit&atilde;o Cook (o primeiro homem a circunavegar a Austr&aacute;lia). Assim como seu mestre, Blight era um homem met&oacute;dico que acreditava firmemente na necessidade de se manter uma tripula&ccedil;&atilde;o saud&aacute;vel, limpa e bem disposta. \r\n\r\nAp&oacute;s uma tentativa desastrada de tentar contornar o cabo Horn em dire&ccedil;&atilde;o ao Pacifico, Blight se viu cada vez mais comandando uma tripula&ccedil;&atilde;o insatisfeita, sendo que suas puni&ccedil;&otilde;es gradativamente aumentaram. Ap&oacute;s meses de viagem, seus homens chegaram ao Tati onde passaram alguns meses colhendo a tal fruta e se preparando para voltar. \r\n\r\nQuando tudo estava pronto, os homens de Blight apegados a vida exuberante e paradisiaca vivida no Taiti seus se amotinaram, tomaram o navio e largaram o tenente Blight em um pequeno bote (junto de alguns homens fi&eacute;is) no meio do pacifico para morrer. Blight milagrosamente, conseguiu voltar a Inglaterra dando inicio a uma busca aos amotinados. \r\n\r\nPara aqueles enfurecidos com os spoilers que descrevi, lhes digo que tudo isso &eacute; descoberto apenas lendo-se a contra-capa do livro e o que realmente fascina na hist&oacute;ria &eacute; a forma como os acontecimentos v&atilde;o tomando forma. \r\n\r\nCom um texto agrad&aacute;vel de ler, semelhante ao que encontrei nos livros [i]Piratas, Uma Hist&oacute;ria Geral de Crimes e Roubos de Piratas Famosos[/i] e [i]A Viagem do Pirata Richard Hawkin[/i] (ambos do autor E. San Martin), al&eacute;m de mapas e desenhos que ilustram os protagonistas da hist&oacute;ria, a autora Caroline Alexander nos mostra como era o dia a dia a bordo desses navios a partir dos diarios de bordo e das cartas enviadas pelos tripulantes. \r\n\r\nApesar de ser muito detalhista algumas vezes (o que cansa um pouco), seu texto esta longe de ser a linguagem chata e altamente t&eacute;cnica de Patrick O&acute;Brian (Mestre dos Mares). Ainda n&atilde;o acabei de ler o livro (afinal s&atilde;o mais de 500 p&aacute;ginas), mas estou adorando e sentindo aquela vontade de voltar a escrever.\r\n\r\nPor&eacute;m minha rela&ccedil;&atilde;o com o Bounty vai al&eacute;m desse simples livro e mesmo temendo me alongar no post, quero contar duas hist&oacute;rias rapidamente. Nos idos de 1995 eu tive a oportunidade de viajar para Portugal com minha familia. J&aacute; sendo um amante dos navios de madeira por conta do hobby de meu pai, fiquei contagiado com aquela id&eacute;ia de estar numa na&ccedil;&atilde;o de navegadores e ainda mais animado em conhecer a famosa Escola de Sagres. \r\n\r\nSobre a escola eu lhes conto outro dia, mas eis que num dos passeios por Lisboa entramos em uma loja que vendia quadros e posters. Eu estava ansioso por comprar um poster que tivesse o desenho de um belo navio a vela (meu pai tinha usado um desenho semelhante alguns anos antes para fazer um modelo em escala). Fu&ccedil;ando em meio aos v&aacute;rios desenhos de mapas e outras coisas, achei um que possuia um navio de perfil al&eacute;m de detalhes sobre as velas e outros pontos de interesse. Adorei aquele poster e o comprei na hora. O navio ilustrado no quadro era o Bounty. \r\n\r\nO mesmo poster encontra-se at&eacute; hoje enquadrado e pendurado no meu quarto e &eacute; bem curioso ler esse livro olhando para ele. Um detalhe sobre esse desenho &eacute; que ele possui escrito em quatro linguas (Espanhol, Ingl&ecirc;s, Franc&ecirc;s e Portugu&ecirc;s) um breve resumo sobre a hist&oacute;ria do Bounty, sendo que s&oacute; fui me dar conta disso e ler o que dizia aquele poster muitos anos depois dele estar na minha parede. \r\n\r\nSe coincid&ecirc;ncia pouca &eacute; bobagem, no ano seguinte tive a oportunidade de ir fazer interc&acirc;mbio nos EUA e fiquei um m&ecirc;s alojado em uma pequena universidade localizada em St Petersburg (Fl&oacute;rida). Numa das noites de folga, nosso instrutor nos levou para passear em um pier local (um lugar com um misto de lojas, restaurantes e ponto de encontro) e eis que para minha surpresa e alegria havia ancorado ali um lindo navio a vela. Imediatamente saquei minha c&acirc;mera e comecei a bater fotos dele. Me aproximando mais da belonave (que aquela hora estava fechada a visita&ccedil;&atilde;o) pude ver uma placa que dizia ser aquela uma r&eacute;plica do HMS Bounty. A tal r&eacute;plica fora construida e usada em um filme sobre ele em 1986. Pesquisando na internet esses dias descobri que essa mesma r&eacute;plica foi usada em um dos filmes do Piratas do Caribe, apesar da fonte n&atilde;o mencionar em qual deles. \r\n\r\nSou um pouco supersticioso com essas coisas e tenho f&eacute; que esse livro n&atilde;o caiu em minhas m&atilde;os por acaso. Quem sabe ap&oacute;s tantos encontros e desencontros com esse navio, n&atilde;o seja a sua hist&oacute;ria que ir&aacute; me trazer novos ventos, renovando minha inspira&ccedil;&atilde;o na hist&oacute;ria de minha pirata Colleen." WHERE id = 83
