[2008-05-08 00:05:48 201.83.46.199  ] login ok
[2008-05-08 11:57:54 201.83.46.199  ] login ok
[2008-05-08 18:07:12 201.83.46.199  ] login ok
[2008-05-08 18:08:20 201.83.46.199  ] INSERT INTO post (titulo, url, data, texto) VALUES ("Problemas com Descri&ccedil;&otilde;es", "problemas_com_descricoes", "2008-12-31 18:07", "Acerca das dificuldades em descrever no papel lugares reais que servem de inspira&ccedil;&atilde;o")
[2008-05-08 18:08:44 201.83.46.199  ] INSERT INTO post (titulo, url, data, texto) VALUES ("De Volta ao Mestre", "de_volta_ao_mestre", "2008-12-31 18:08", "Acerca da releitura de Duna")
[2008-05-08 18:17:03 201.83.46.199  ] login ok
[2008-05-08 18:17:25 201.83.46.199  ] UPDATE post SET titulo = "O Engenhoso Fidalgo Dom Quixote", url = "o_engenhoso_fidalgo_dom_quixote", data = "2008-12-31 00:36", texto = "Aproveito o post dessa semana para confessar o que pode parecer um absurdo para algu&eacute;m que pretende ser um escritor um dia, o fato de nunca ter lido Dom Quixote.\r\n\r\n&Eacute; verdade que li alguma adapta&ccedil;&atilde;o infanto juvenil na minha inf&acirc;ncia e sei por cima a hist&oacute;ria do maior her&oacute;i da literatura espanhola, mas &eacute; sem d&uacute;vida imperdo&aacute;vel nunca ter me dedicado a ler essa obra. O curioso &eacute; que sempre me identifiquei com a figura de Dom Quixote, chegando mesmo a escrever um texto ou dois inspirado em sua lenda.\r\n\r\nO cavaleiro da triste figura &eacute; para mim a representa&ccedil;&atilde;o de tudo aquilo que acredito, a de um sonhador incorrig&iacute;vel que se recusa a aceitar que a realidade deve ser como ela &eacute;. Muitos riram ou ca&ccedil;oaram dele ao longo de sua jornada e sinto que o mesmo ocorreu comigo muitas vezes. Nesse momento em especial que estou passando, onde o sonho de publicar meu livro se torna t&atilde;o dif&iacute;cil e t&atilde;o aparentemente inating&iacute;vel, acho que mais do que nunca devo acreditar em minhas convic&ccedil;&otilde;es e seguir em frente.\r\n\r\nDizem que Dom Quixote era louco por enfrentar moinhos de vento e eu me pergunto, ser&aacute; que n&atilde;o &eacute; melhor ser louco e tentar a sorte do que ser s&atilde;o e se conformar que n&atilde;o se vende livros de fantasia no Brasil?" WHERE id = 69
[2008-05-08 18:19:17 201.83.46.199  ] INSERT INTO noticia (titulo, data, texto) VALUES ("Mat&eacute;ria do livro na Play TV", "2008-05-08 18:17", "Clique no video abaixo e assista a excelente mat&eacute;ria ve&iacute;culada na Play TV a respeito do meu livro Pelo Sangue e Pela F&eacute;. A reportagem foi ao ar no dia 15/04 no Jornal das 10.\r\n\r\nhttp://www.youtube.com/watch?v=MPhhq_nBdjA")
[2008-05-08 18:19:59 201.83.46.199  ] DELETE FROM noticia WHERE id = 15 LIMIT 1
[2008-05-08 18:20:14 201.83.46.199  ] UPDATE noticia SET titulo = "Pelo Sangue e Pela F&eacute; na Play TV", data = "2008-05-05 13:17", texto = "Clique no video abaixo e assista a excelente mat&eacute;ria ve&iacute;culada na Play TV a respeito do meu livro Pelo Sangue e Pela F&eacute;. A reportagem foi ao ar no dia 15/04 no Jornal das 10.\r\n\r\nhttp://www.youtube.com/watch?v=MPhhq_nBdjA" WHERE id = 14
[2008-05-08 18:20:23 201.83.46.199  ] UPDATE noticia SET titulo = "Pelo Sangue e Pela F&eacute; na Play TV", data = "2008-05-08 13:17", texto = "Clique no video abaixo e assista a excelente mat&eacute;ria ve&iacute;culada na Play TV a respeito do meu livro Pelo Sangue e Pela F&eacute;. A reportagem foi ao ar no dia 15/04 no Jornal das 10.\r\n\r\nhttp://www.youtube.com/watch?v=MPhhq_nBdjA" WHERE id = 14
[2008-05-08 18:20:27 201.83.46.199  ] UPDATE noticia SET titulo = "Pelo Sangue e Pela F&eacute; na Play TV", data = "2008-05-08 13:17", texto = "Clique no video abaixo e assista a excelente mat&eacute;ria ve&iacute;culada na Play TV a respeito do meu livro Pelo Sangue e Pela F&eacute;. A reportagem foi ao ar no dia 15/04 no Jornal das 10.\r\n\r\nhttp://www.youtube.com/watch?v=MPhhq_nBdjA" WHERE id = 14
[2008-05-08 23:53:47 201.83.46.199  ] login ok
